variant,seed,agent_steps,train_return,eval_return,eval_std,success_rate,mean_length,action_diversity,coverage_rate,assignment_cost,task_score,actor_loss,critic_loss,entropy,approx_kl
shared_id,142,26352,1.7530941632058885,-15.566885691977614,13.362182852432797,1.0,12.8,0.6591967097230256,1.0,0.7348687052726746,109.26513129472733,-0.0005032678341699971,108.08020867241754,1.3151476515663996,0.0005182783319873529
shared_id,142,31274,9.931692853972718,-24.9098362647511,27.23959686496398,1.0,19.8,0.682045857908861,1.0,0.7327102288603783,109.26728977113962,0.00013454809474448362,73.93571217854817,1.3036963144938152,0.0007467853793059476
shared_id,142,35836,18.22396011108702,-22.47565851257808,22.31749991033238,1.0,18.45,0.6701399087024087,1.0,0.7287323504686356,109.27126764953137,-0.0014213136293821866,83.20867156982422,1.233024795850118,0.00024257292413191559
shared_id,142,40480,17.856998013689164,-22.55760373099026,23.39730179708115,1.0,17.9,0.6425035975374296,1.0,0.708239170908928,109.29176082909107,-0.0010721862523092164,80.60263994004991,1.2256151702668932,7.082027837491802e-05
shared_id,142,45050,16.758973416017028,-20.338258098181676,17.707353428928716,1.0,17.35,0.6373943278943279,1.0,0.7147842913866043,109.28521570861339,-0.021398026767807703,75.76124445597331,1.1640971302986145,9.854036488832207e-05
shared_id,142,51114,17.134683582517837,-18.8546316781927,14.411847722962506,1.0,16.45,0.6428413824737355,1.0,0.7066804885864257,109.29331951141357,-0.0011753220525052813,57.02684190538194,1.2058341238233778,7.446668178090476e-05
shared_id,254,0,,-37.951671876330366,80.20333984735619,0.9,28.9,0.8177475277989984,0.95,0.7748742818832397,98.72512571811676,,,,
shared_id,254,6558,-4.098901467323303,-33.42818945115901,69.25752155536303,0.9,28.45,0.7539866897808074,0.95,0.7577439591288566,98.74225604087114,-0.0011884488631039858,114.89701843261719,1.360081136226654,0.001433689882105682
shared_id,254,11470,-5.145093786716461,-23.835329994842283,50.60604980352733,0.95,20.25,0.7824631327863594,0.975,0.7371749520301819,104.01282504796981,-0.013980706998457512,105.26994895935059,1.4095792373021443,0.0007637208327651024
shared_id,254,16036,-9.28779464392435,-22.441833129504673,37.08740209314614,1.0,19.1,0.7539074721276575,1.0,0.7729152083396912,109.2270847916603,0.013037080022816857,105.02530352274577,1.3758078316847484,0.003219190334978824
shared_id,254,20730,8.939463523301212,-24.26375777743543,50.53290908928721,0.95,20.65,0.7622521719318057,0.975,0.7481267571449279,104.00187324285507,-0.0017772487157748805,129.26727379692926,1.2967733939488728,0.00097761238026174
shared_id,254,25312,11.673243307405048,-13.77913339654926,10.075834627793709,1.0,12.15,0.7680105430095943,1.0,0.7199354380369186,109.28006456196309,-0.001862101981209384,122.22860463460286,1.3222910033331976,0.0006753211039014989
shared_id,254,31380,4.437790297468504,-12.75357095757988,9.101859548512722,1.0,11.2,0.7234650894770864,1.0,0.6858481347560883,109.31415186524391,-0.0005707450004087554,106.46514892578125,1.3427135547002156,0.0001369246854462997
shared_id,254,35952,14.548791824115646,-13.092541194769485,8.714633388802772,1.0,11.4,0.7616361341187192,1.0,0.7032662808895112,109.29673371911049,0.05266798047038416,100.60340309143066,1.2824295560518901,0.0006458535984468957
shared_id,254,40542,18.467420834415364,-12.738686893212481,9.219268929016982,1.0,11.15,0.7323347485847486,1.0,0.7055800125002861,109.29441998749971,0.0997813744082426,119.51304117838542,1.2281186779340107,0.00011466798165808238
shared_id,254,45182,14.679489544950998,-14.073617334032406,12.330155651423455,1.0,11.8,0.7525466753184145,1.0,0.6742572486400604,109.32574275135994,-0.013871396232085923,102.74991162618001,1.1933225393295288,7.366527506746934e-05
shared_id,254,51248,13.249275625536317,-13.652661450529038,11.91457680161424,1.0,11.75,0.7304191908882312,1.0,0.6714412108063698,109.32855878919364,-0.00012064632028341293,76.63837178548177,1.24726312690311,5.666762444889173e-05
independent,142,0,,-34.26987624548388,58.26020296487902,0.95,26.1,0.8260830252264075,0.975,0.7277805864810943,104.02221941351891,,,,
independent,142,5062,-12.970313504338264,-53.48800983599076,79.09466987752086,0.9,40.65,0.8188747136005263,0.95,0.7148442104458809,98.78515578955412,-0.003098410631840428,80.79752031962076,1.4086979230244954,0.0009072205133027941
